player,span,matches,innings,dismissals,catches,stumpings,maxDismissalsInnings,foreign
Dinesh Karthik,2015-2024,60,54,45,36,9,3 (3ct 0st),false
AB de Villiers,2011-2021,157,51,35,27,8,3 (3ct 0st),false
Jitesh Sharma,2025-2026,25,25,31,29,2,4 (4ct 0st),false
Parthiv Patel,2014-2019,32,32,23,20,3,3 (3ct 0st),false
MV Boucher,2008-2010,31,30,19,15,4,2 (2ct 0st),false
KB Arun Karthik,2011-2013,20,20,18,15,3,3 (3ct 0st),false
Robin Uthappa,2009-2010,40,19,16,12,4,2 (2ct 0st),false
Q de Kock,2018-2018,8,8,10,7,3,3 (1ct 2st),false
KL Rahul,2013-2016,19,15,10,6,4,2 (2ct 0st),false
KM Jadhav,2016-2023,19,12,9,6,3,2 (2ct 0st),false
Anuj Rawat,2022-2024,22,6,6,6,0,4 (4ct 0st),false
KS Bharat,2021-2021,8,8,5,4,1,2 (2ct 0st),false
SP Goswami,2008-2010,7,4,4,2,2,2 (1ct 1st),false
DT Patil,2008-2008,2,2,2,2,0,2 (2ct 0st),false
YV Takawale,2014-2014,5,2,2,1,1,1 (1ct 0st),false
Vishnu Vinod,2017-2017,3,3,2,0,2,2 (0ct 2st),false
TM Dilshan,2011-2013,30,1,0,0,0,0,false
JR Philippe,2020-2020,5,2,0,0,0,0,false
