player,span,matches,innings,foreign
Virat Kohli,2008-2026,292,9464,false
AB de Villiers,2011-2021,157,4522,false
Yuzvendra Chahal,2014-2021,113,32,false
Chris Gayle,2011-2017,91,3420,false
Mohammed Siraj,2018-2024,87,109,false
Harshal Patel,2012-2023,80,155,false
Vinay Kumar,2008-2013,70,252,false
Dinesh Karthik,2015-2024,60,937,false
Rahul Dravid,2008-2010,52,1132,false
Glenn Maxwell,2021-2024,52,1266,false
Rajat Patidar,2021-2026,52,1429,false
Anil Kumble,2008-2010,51,37,false
Devdutt Padikkal,2020-2026,49,1447,false
P Kumar,2008-2010,47,202,false
Jacques Kallis,2008-2010,46,1271,false
SS Tiwary,2011-2013,46,578,false
Faf du Plessis,2022-2024,45,1636,false
Sreenath Aravind,2011-2017,44,70,false
Zaheer Khan,2008-2013,44,67,false
Mandeep Singh,2015-2018,40,597,false
Dale Steyn,2008-2020,40,16,false
Robin Uthappa,2009-2010,40,706,false
Mayank Agarwal,2011-2025,39,587,false
Shahbaz Ahmed,2020-2023,39,321,false
Josh Hazlewood,2022-2026,34,19,false
Parthiv Patel,2014-2019,32,731,false
MV Boucher,2008-2010,31,393,false
LRPL Taylor,2008-2010,31,733,false
Washington Sundar,2018-2021,31,208,false
TM Dilshan,2011-2013,30,733,false
MK Lomror,2022-2024,29,346,false
Yash Dayal,2024-2025,29,4,false
NA Saini,2019-2021,28,31,false
Daniel Vettori,2011-2012,28,116,false
Mitchell Starc,2014-2015,27,96,false
UT Yadav,2018-2020,27,28,false
Wanindu Hasaranga,2021-2023,26,72,false
SN Khan,2015-2018,25,228,false
Bhuvneshwar Kumar,2009-2026,25,41,false
Krunal Pandya,2025-2026,25,177,false
Jitesh Sharma,2025-2026,25,325,false
VR Aaron,2014-2016,24,41,false
MK Pandey,2009-2010,24,569,false
Shane Watson,2016-2017,24,250,false
Tim David,2021-2026,23,420,false
Suyash Sharma,2025-2026,23,0,false
Anuj Rawat,2022-2024,22,318,false
STR Binny,2016-2017,22,141,false
M Muralidaran,2012-2014,21,6,false
P Negi,2017-2019,21,156,false
KB Arun Karthik,2011-2013,20,67,false
CL White,2008-2010,20,226,false
MM Ali,2018-2020,19,309,false
KM Jadhav,2016-2023,19,321,false
KL Rahul,2013-2016,19,417,false
Phil Salt,2025-2026,19,605,false
B Akhil,2008-2010,18,81,false
Romario Shepherd,2025-2026,18,149,false
A Mithun,2009-2013,17,38,false
KV Sharma,2009-2024,17,35,false
S Dube,2019-2020,15,169,false
Iqbal Abdulla,2015-2017,15,62,false
Sachin Baby,2016-2021,15,141,false
J Syed Mohammad,2011-2013,15,45,false
RE van der Merwe,2009-2010,15,126,false
D Wiese,2015-2016,15,127,false
KP Appanna,2009-2012,14,2,false
CA Pujara,2011-2013,14,143,false
Yuvraj Singh,2014-2014,14,376,false
C de Grandhomme,2018-2019,13,177,false
C Green,2024-2024,13,255,false
M Kaif,2011-2012,13,102,false
Kevin Pietersen,2009-2010,13,329,false
JD Unadkat,2013-2013,13,2,false
AJ Finch,2020-2020,12,268,false
R Rampaul,2013-2014,12,51,false
DT Christian,2013-2021,11,20,false
AB Dinda,2014-2015,11,4,false
Gurkeerat Singh,2019-2020,11,169,false
M Kartik,2013-2013,11,2,false
SS Prabhudessai,2022-2024,11,126,false
RP Singh,2013-2013,11,0,false
TG Southee,2018-2019,11,61,false
V Vyshak,2023-2024,11,14,false
TM Head,2016-2017,10,205,false
MC Henriques,2013-2013,10,165,false
LS Livingstone,2025-2025,10,112,false
MP Stoinis,2019-2019,10,211,false
I Udana,2020-2020,10,15,false
KA Jamieson,2021-2021,9,65,false
CJ Jordan,2016-2016,9,3,false
CH Morris,2020-2020,9,34,false
S Rana,2014-2014,9,73,false
AD Nath,2019-2019,8,61,false
Akash Deep,2022-2024,8,19,false
KS Bharat,2021-2021,8,191,false
Q de Kock,2018-2018,8,201,false
WG Jacks,2024-2024,8,230,false
W Jaffer,2008-2009,8,130,false
Misbah-ul-Haq,2008-2008,8,117,false
