players,runs,wicket,opposition,venue,year
Virat Kohli / AB de Villiers,229,2nd,v Guj Lions,Bengaluru,2016
Virat Kohli / AB de Villiers,215,2nd,v MI,Wankhede,2015
Virat Kohli / Chris Gayle,204,2nd,v Daredevils,Delhi,2012
Devdutt Padikkal / Virat Kohli,181,1st,v RR,Wankhede,2021
Virat Kohli / Faf du Plessis,172,1st,v SRH,Hyderabad,2023
Chris Gayle / TM Dilshan,167,1st,v Warriors,Bengaluru,2013
Virat Kohli / WG Jacks,166,2nd,v GT,Ahmedabad,2024
Virat Kohli / AB de Villiers,157,2nd,v SRH,Bengaluru,2016
Virat Kohli / AB de Villiers,155,2nd,v Supergiants,Pune,2016
Virat Kohli / Faf du Plessis,148,1st,v MI,Bengaluru,2023
Virat Kohli / Chris Gayle,147,1st,v Kings XI,Bengaluru,2016
SO Hetmyer / Gurkeerat Singh,144,4th,v SRH,Bengaluru,2019
Virat Kohli / Chris Gayle,141,2nd,v NSW,Bengaluru,2011
Virat Kohli / Faf du Plessis,137,1st,v Punjab Kings,Mohali,2023
Virat Kohli / Chris Gayle,136,2nd,v Kings XI,Bengaluru,2013
Yuvraj Singh / AB de Villiers,132,4th,v RR,Bengaluru,2014
Chris Gayle / AB de Villiers,131,4th,v Kings XI,Mohali,2012
Glenn Maxwell / Faf du Plessis,127,3rd,v RR,Bengaluru,2023
Robin Uthappa / Jacques Kallis,126,2nd,v MI,Johannesburg,2009
Glenn Maxwell / Faf du Plessis,126,3rd,v CSK,Bengaluru,2023
Virat Kohli / Faf du Plessis,125,1st,v RR,Jaipur,2024
Chris Gayle / TM Dilshan,123,1st,v KKR,Eden Gardens,2011
TM Dilshan / AB de Villiers,122,4th,v RR,Jaipur,2012
Virat Kohli / Chris Gayle,122,1st,v Guj Lions,Rajkot,2017
KL Rahul / Virat Kohli,121,3rd,v Guj Lions,Rajkot,2016
MP Stoinis / AB de Villiers,121,5th,v Kings XI,Bengaluru,2019
Glenn Maxwell / Faf du Plessis,120,3rd,v MI,Wankhede,2023
Phil Salt / Virat Kohli,120,1st,v MI,Wankhede,2026
Virat Kohli / Chris Gayle,119,2nd,v Kings XI,Bengaluru,2012
Virat Kohli / Chris Gayle,119,1st,v Kings XI,Bengaluru,2015
Krunal Pandya / Virat Kohli,119,4th,v DC,Delhi,2025
Virat Kohli / AB de Villiers,118,3rd,v Daredevils,Delhi,2018
Virat Kohli / Faf du Plessis,118,2nd,v Punjab Kings,DY Patil,2022
Virat Kohli / AB de Villiers,115,2nd,v KKR,Eden Gardens,2016
Virat Kohli / Faf du Plessis,115,1st,v GT,Wankhede,2022
Glenn Maxwell / Faf du Plessis,115,2nd,v LSG,Bengaluru,2023
Devdutt Padikkal / Virat Kohli,115,2nd,v GT,Bengaluru,2026
Virat Kohli / Chris Gayle,114,1st,v SRH,Bengaluru,2016
Chris Gayle / Mayank Agarwal,113,1st,v MI,Chennai,2011
Mandeep Singh / AB de Villiers,113,3rd,v RR,Pune,2015
Glenn Maxwell / KS Bharat,111,4th,v DC,Dubai (DICS),2021
Virat Kohli / Chris Gayle,111,2nd,v Kings XI,Bengaluru,2011
Devdutt Padikkal / Virat Kohli,111,1st,v CSK,Sharjah,2021
Virat Kohli / Chris Gayle,109,2nd,v CSK,Chennai,2012
Virat Kohli / AB de Villiers,108,2nd,v KKR,Bengaluru,2019
Jitesh Sharma / Mayank Agarwal,107,5th,v LSG,Lucknow,2025
Virat Kohli / AB de Villiers,107,2nd,v Daredevils,Bengaluru,2016
AB de Villiers / MM Ali,107,3rd,v SRH,Bengaluru,2018
Rajat Patidar / Faf du Plessis,105,2nd,v SRH,Wankhede,2022
Virat Kohli / AB de Villiers,103,3rd,v Daredevils,Bengaluru,2013
AB de Villiers / Q de Kock,103,2nd,v CSK,Bengaluru,2018
Devdutt Padikkal / Virat Kohli,103,2nd,v Punjab Kings,New Chandigarh,2025
CA Pujara / Chris Gayle,102,1st,v Kings XI,Mohali,2013
Rajat Patidar / WG Jacks,102,3rd,v KKR,Eden Gardens,2024
Devdutt Padikkal / Virat Kohli,101,2nd,v SRH,Bengaluru,2026
Virat Kohli / AB de Villiers,100,3rd,v KKR,Sharjah,2020
Virat Kohli / TM Dilshan,100,2nd,v South Aust,Bengaluru,2011
Parthiv Patel / AB de Villiers,99,4th,v MI,Dubai (DICS),2014
Virat Kohli / Chris Gayle,99,1st,v Daredevils,Delhi,2015
Rajat Patidar / Tim David,99,4th,v CSK,Bengaluru,2026
Devdutt Padikkal / Virat Kohli,99,2nd,v RR,Abu Dhabi,2020
Rajat Patidar / Virat Kohli,99,2nd,v GT,Brabourne,2022
Virat Kohli / AB de Villiers,98,2nd,v RR,Ahmedabad,2015
Shahbaz Ahmed / Dinesh Karthik,97,6th,v DC,Wankhede,2022
Virat Kohli / JG Bethell,97,1st,v CSK,Bengaluru,2025
Virat Kohli / Faf du Plessis,96,1st,v LSG,Bengaluru,2023
Virat Kohli / Jacques Kallis,95,5th,v Chargers,Bengaluru,2010
AB de Villiers / MM Ali,95,3rd,v MI,Wankhede,2019
Dinesh Karthik / Anuj Rawat,95,6th,v CSK,Chennai,2024
Phil Salt / Virat Kohli,95,1st,v KKR,Eden Gardens,2025
Devdutt Padikkal / Virat Kohli,95,2nd,v RR,Bengaluru,2025
Rajat Patidar / Devdutt Padikkal,95,3rd,v LSG,Lucknow,2026
Virat Kohli / Chris Gayle,94,2nd,v MI,Wankhede,2012
Virat Kohli / AB de Villiers,94,4th,v Daredevils,Delhi,2013
KL Rahul / Virat Kohli,94,1st,v Supergiants,Bengaluru,2016
MK Pandey / Jacques Kallis,93,1st,v RR,Bengaluru,2010
LRPL Taylor / Rahul Dravid,93,2nd,v Daredevils,Bengaluru,2009
Parthiv Patel / Virat Kohli,92,1st,v Kings XI,Indore,2018
Rajat Patidar / Dinesh Karthik,92,5th,v LSG,Eden Gardens,2022
Virat Kohli / Faf du Plessis,92,1st,v GT,Bengaluru,2024
Virat Kohli / C Green,92,4th,v Punjab Kings,Dharamsala,2024
Phil Salt / Virat Kohli,92,1st,v RR,Jaipur,2025
Iqbal Abdulla / AB de Villiers,91,7th,v Guj Lions,Bengaluru,2016
TM Dilshan / AB de Villiers,91,3rd,v MI,Bengaluru,2011
Chris Gayle / TM Dilshan,91,1st,v Chargers,Bengaluru,2012
Devdutt Padikkal / Virat Kohli,91,2nd,v MI,Wankhede,2025
Virat Kohli / MM Ali,90,3rd,v KKR,Eden Gardens,2019
Devdutt Padikkal / AJ Finch,90,1st,v SRH,Dubai (DICS),2020
LRPL Taylor / W Jaffer,89,2nd,v CSK,Bengaluru,2008
Sachin Baby / AB de Villiers,88,4th,v Kings XI,Mohali,2016
Rajat Patidar / WG Jacks,88,3rd,v DC,Bengaluru,2024
Jacques Kallis / Rahul Dravid,87,4th,v Daredevils,Delhi,2008
Devdutt Padikkal / Glenn Maxwell,86,3rd,v KKR,Chennai,2021
MK Pandey / Jacques Kallis,85,1st,v MI,Brabourne,2010
YV Takawale / Virat Kohli,85,2nd,v KKR,Eden Gardens,2014
Virat Kohli / AB de Villiers,85,2nd,v Kings XI,Mohali,2019
Yuvraj Singh / Virat Kohli,84,3rd,v Daredevils,Sharjah,2014
KL Rahul / Virat Kohli,84,2nd,v KKR,Bengaluru,2016
Virat Kohli / Chris Gayle,83,2nd,v RR,Jaipur,2011
Chris Gayle / AB de Villiers,83,3rd,v KKR,Bengaluru,2013
